RMS_CDW_ID,General_Offense_Number,Offense_Code,Offense_Code_Extension,Offense_Type,Summary_Offense_Code,Summarized_Offense_Description,Date_Reported,Occurred_Date_or_Date_Range_Start,Occurred_Date_Range_End,Hundred_Block_Location,District_Sector,Zone_Beat,Census_Tract_2000,Longitude,Latitude,Location,Month,Year
725177,201515002,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/14/2015 01:35:00 PM,01/14/2015 01:30:00 PM,,NE 65 ST / NE RAVENNA BV,J,J3,3600.4007,-122.32233429,47.675868988,"(47.675868988, -122.32233429)",1,2015
725181,201515248,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/14/2015 04:44:00 PM,01/14/2015 04:44:00 PM,,23XX BLOCK OF E CHERRY ST,G,G2,8800.2008,-122.302124023,47.608009338,"(47.608009338, -122.302124023)",1,2015
725183,201513691,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,01/13/2015 12:33:00 PM,01/12/2015 09:00:00 PM,01/13/2015 09:00:00 AM,1XX BLOCK OF 21 AV E,C,C2,7600.2008,-122.304756165,47.619358063,"(47.619358063, -122.304756165)",1,2015
725185,2015900260,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/13/2015 12:06:00 PM,01/08/2015 12:00:00 PM,01/09/2015 12:00:00 PM,21XX BLOCK OF W BERTONA ST,Q,Q1,5801.1004,-122.384017944,47.650325775,"(47.650325775, -122.384017944)",1,2015
725187,201515323,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/14/2015 05:40:00 PM,01/13/2015 02:30:00 PM,,3 AV / CEDAR ST,D,D1,8001.1005,-122.348899841,47.61713028,"(47.61713028, -122.348899841)",1,2015
725204,201513989,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/13/2015 06:14:00 PM,01/12/2015 06:18:00 PM,01/12/2015 06:40:00 PM,14XX BLOCK OF 4 AV,M,M3,8100.2010,-122.336227417,47.609718323,"(47.609718323, -122.336227417)",1,2015
725220,201514125,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/13/2015 06:23:00 PM,01/13/2015 06:23:00 PM,,5 AV / PIKE ST,M,M3,8100.2005,-122.335578918,47.610675812,"(47.610675812, -122.335578918)",1,2015
725221,201513767,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/13/2015 01:29:00 PM,12/23/2014 01:29:00 PM,01/02/2015 01:29:00 PM,2XX BLOCK OF W MERCER ST,Q,Q3,7000.5003,-122.359977722,47.624595642,"(47.624595642, -122.359977722)",1,2015
725269,2015900284,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,01/14/2015 11:12:00 AM,01/05/2015 09:00:00 AM,01/05/2015 04:00:00 PM,2XX BLOCK OF BOREN AV N,D,D3,7300.3014,-122.335861206,47.620281219,"(47.620281219, -122.335861206)",1,2015
725274,201515427,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/14/2015 07:18:00 PM,01/14/2015 07:18:00 PM,,38XX BLOCK OF RAINIER AV S,R,R2,10100.5018,-122.289924622,47.568881989,"(47.568881989, -122.289924622)",1,2015
725283,201515151,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/14/2015 03:54:00 PM,01/11/2015 05:00:00 PM,01/12/2015 05:00:00 PM,51XX BLOCK OF 26 AV NE,U,U3,4301.1004,-122.299552917,47.667190552,"(47.667190552, -122.299552917)",1,2015
